Product Name,Material,Finish,Application,Size,Price (INR/Piece),Description
Round Textured Pumpkin Planter,Teak Sandstone,Textured segmented surface,"Garden tables, centerpieces","Diameter 16 inches, Height 14 inches",5200,"A round pumpkin-shaped planter with rough-textured vertical segments, perfect for rustic or farmhouse aesthetics. Designs are customizable according to requirement in terms of design, size, and type of stone."
Modern Black Stone Planter Set,Black Sandstone,Fine horizontal line texture,"Balconies, modern interiors","Tall: H 24 in, Short: H 16 in",8800,"Contemporary set of planters in rich black sandstone with fine lines for a sleek appearance. Ideal for statement spaces. Designs are customizable according to requirement in terms of design, size, and type of stone."
Grand Pedestal Urn Planter,Beige Sandstone,Fluted bowl on carved pedestal,"Entrance focal points, classic gardens","Height 30 inches, Bowl Diameter 20 inches",10500,"This urn-shaped planter with an elegant pedestal base adds grandeur to any entry or courtyard. Hand-carved details bring traditional charm. Designs are customizable according to requirement in terms of design, size, and type of stone."
Diamond Carved Tall Planter,Beige Sandstone,Diamond cut texture,"Patio highlights, entry decor","Height 28 inches, Diameter 16 inches",7400,"With deep diamond texture carving, this planter offers visual depth and artisan craftsmanship for elegant spaces. Designs are customizable according to requirement in terms of design, size, and type of stone."
Lotus Bud Stone Bowl Planter,White Marble,Smooth petal-like curves,Low height centerpiece or garden bowl,"Height 10 inches, Diameter 18 inches",9200,"Inspired by the form of a blooming lotus, this marble planter bowl is ideal for floral or aquatic arrangements. Designs are customizable according to requirement in terms of design, size, and type of stone."
Chunk Cut Round Planter,Beige Sandstone,Chunky stone surface texture,"Grand indoor decor, outdoor accents","Height 20 inches, Diameter 22 inches",6900,"A solid round planter carved with a bold chunk cut surface for a sculptural look. Strong visual presence. Designs are customizable according to requirement in terms of design, size, and type of stone."
Classic Goblet Bowl Planter,White Sandstone,Minimal smooth finish,"Minimal décor, balconies, low height corners","Height 10 inches, Diameter 10 inches",3900,"Simple and elegant goblet-shaped planter ideal for small plants or herbs. Lightweight and sleek design. Designs are customizable according to requirement in terms of design, size, and type of stone."
Woven Basket Stone Planter,Beige Sandstone,Hand-carved basket weave texture,"Classical gardens, rustic setups","Height 16 inches, Diameter 18 inches",7800,"A unique planter styled like a woven basket, complete with rope-like border – a tribute to artisanal stonework. Designs are customizable according to requirement in terms of design, size, and type of stone."
Traditional Red Sandstone Pot,Red Sandstone,Smooth urn shape,"Ethnic interiors, verandahs","Height 20 inches, Diameter 16 inches",4200,"Traditional pot in smooth red sandstone with a classic urn shape, ideal for heritage-inspired spaces. Designs are customizable according to requirement in terms of design, size, and type of stone."
Mini Teakwood Round Bowl Set,Teakwood Sandstone,Natural vein polish,"Tabletop mini decor, bonsai bowls","Diameter 6 inches, Height 5 inches",2100,"Set of small round planters with natural teakwood texture, perfect for tabletop arrangements and minimalist décor. Designs are customizable according to requirement in terms of design, size, and type of stone."
