Product Name,Material,Finish,Application,Size,Price (INR/Piece),Description
Carved Floral Barrel Planter,Beige Sandstone,High-relief flower and foliage carving,"Resort lobbies, traditional gardens","Height 24 inches, Diameter 20 inches",8800,"This barrel-style planter showcases deep floral carving with rich textures, ideal for heritage and luxury settings. Designs are customizable according to requirement in terms of design, size, and type of stone."
Wide Belly Lotus Petal Stone Planter,Grey Basalt,Textured with shallow lotus petal engravings,"Large indoor corners, estate lawns","Height 18 inches, Diameter 30 inches",11200,"This large and wide-bodied planter is etched with lotus petal forms around the neck for a sacred, natural appearance. Designs are customizable according to requirement in terms of design, size, and type of stone."
Black Polished Fluted Urn Planter,Black Marble,High polish with deep vertical flutes,"Luxury entrances, outdoor galleries","Height 26 inches, Diameter 18 inches",12800,"A polished marble urn featuring deep vertical grooves, balancing classic European style with fine finishing. Designs are customizable according to requirement in terms of design, size, and type of stone."
Contemporary Cone Textured Planters,White and Beige Sandstone,Geometric surface texture,"Modern interiors, boutique hotels",Height 20 to 28 inches,6800,"Sculptural cone planters with artistic textures – ripple, diamond cut, swirl – ideal for design-forward interior spaces. Designs are customizable according to requirement in terms of design, size, and type of stone."
Oversized Tulip Shape Modern Planter,Red Sandstone,Smooth matte finish,"Lobby centerpieces, public installations","Height 36 inches, Diameter 30 inches",14800,"An eye-catching modern tulip form with flared edges and soft finish for ultra-modern landscape or lobby statement. Designs are customizable according to requirement in terms of design, size, and type of stone."
Greek Key Teak Sandstone Tall Planter,Teak Sandstone,Natural grain polish with Greek key motif,"Villa patios, architectural landscapes","Height 34 inches, Diameter 18 inches",9800,"This tall tapered planter features elegant teak texture with a bold carved Greek border design. Ideal for structured design settings. Designs are customizable according to requirement in terms of design, size, and type of stone."
Classic Roman Rimmed Bowl Planter,Beige Sandstone,Smooth matte with thick upper rim,"Roman garden themes, entrances","Height 16 inches, Diameter 22 inches",7200,"Inspired by Roman urns, this bowl planter offers a wide planting area and a regal thick upper rim. Designs are customizable according to requirement in terms of design, size, and type of stone."
Smooth Barrel Round Teakwood Planter,Teakwood Sandstone,Natural horizontal veining,"Balconies, verandahs, urban gardens","Height 20 inches, Diameter 18 inches",6200,"Polished to highlight teakwood’s unique veining, this rounded planter offers timeless appeal and durability. Designs are customizable according to requirement in terms of design, size, and type of stone."
Flared Top Bowl Planter with Rim,Beige Sandstone,Smooth bowl with elegant flared lip,"Resort entryways, center displays","Height 18 inches, Diameter 24 inches",7900,"This elegant planter features a gently flared lip on a clean rounded form – perfect for softening large architectural zones. Designs are customizable according to requirement in terms of design, size, and type of stone."
Tall Ribbed Taper Planter,White Sandstone,Vertical ribbed design,"Modern walkways, indoor focal points","Height 28 inches, Diameter 14 inches",5600,"Tall and narrow tapering planter with clean ribbed detailing for a vertical accent effect – great for design continuity. Designs are customizable according to requirement in terms of design, size, and type of stone."
