Product Name,Material,Finish,Application,Size,Price (INR/Piece),Description
Zig-Zag Block Carved Sandstone Planter,Beige Sandstone,"Hand-carved, geometric zig-zag block texture",Indoor & outdoor luxury decor,Customizable,6500,This elegant beige sandstone planter features a bold zig-zag block pattern hand-carved with precision. Ideal for adding a statement to luxury interiors or premium landscape designs. Natural stone ensures long life and timeless beauty. Designs are customizable in terms of size and type of stone.
Modern Spiral White Stone Planter,White Mint Sandstone,Clean spiral ring pattern,"High-end foyer, entrance, or balcony decor",Customizable,7200,"Sleek and modern, this white spiral planter is crafted from mint sandstone and polished for a refined look. A favorite for contemporary homes and commercial spaces. Weatherproof and sculpted with enduring detail. Designs are customizable in terms of size and type of stone."
Wave Cut Tall Sandstone Planter,Teakwood Sandstone,Diagonal wave carving,"Hotel lobbies, landscape highlights",Customizable,6800,"This tall planter is carved with rhythmic waves that flow around the body, delivering a dynamic and artistic appeal. Handcrafted from teak sandstone, it blends natural beauty with architectural grace. Designs are customizable in terms of size and type of stone."
Natural Pattern Cylindrical Stone Planter,Teakwood Sandstone,Smooth cylindrical cut,"Poolside, patios, and minimalist interiors",Customizable,5400,"With its natural sandstone vein patterns and soft finish, this cylindrical planter creates a calm, organic vibe. The perfect choice for modern, minimalist spaces. Durable and maintenance-free. Designs are customizable in terms of size and type of stone."
Honeycomb Carved Planter – Tall Design,Beige Sandstone,Honeycomb hexagon texture,"Hotel entries, villa gardens",Customizable,6800,Add geometric charm with this tall honeycomb-carved planter. Its deep texture and handcrafted elegance make it a standout for luxury landscape and interior styling. Designs are customizable in terms of size and type of stone.
Honeycomb Planters – Pair (Tall & Short),Beige Sandstone,Hand-cut honeycomb texture,Paired placement at entryways or corridors,Tall & short combo available,11800,A stunning matched pair of honeycomb stone planters – tall and short – ideal for symmetry in premium design projects. Timeless carving and durable stone make these a favorite among architects. Designs are customizable in terms of size and type of stone.
Textured Minimal Planter Set,White Sandstone,Horizontal textured carving,"Resort interiors, classic-themed homes",Tall & short set,10500,"With subtle horizontal textures and a timeless shape, this duo of planters blends traditional elegance with rustic charm. Hand-finished from fine sandstone for lasting performance. Designs are customizable in terms of size and type of stone."
Royal Urn Shaped Stone Planter,Dholpur Sandstone,Classic European fluted carving,"Palace gardens, high-end outdoor décor",Customizable,14000,"Inspired by classical urns, this Dholpur sandstone planter is a masterpiece of traditional craftsmanship. Majestic fluted design and strong form elevate any landscape or architectural setting. Designs are customizable in terms of size and type of stone."
Vertical Lined Round Planter with Balls,Beige Sandstone,Vertical line texture with matching round stone spheres,Entry decor or sculpture-style installations,Customizable,7000,"A modern classic with linear textures and minimalist form, this planter comes with decorative balls in matching stone – perfect for entrance or focal points in high-end spaces. Designs are customizable in terms of size and type of stone."
Traditional Round Pot Planters,"Red, Beige, White Sandstone",Smooth classic pot shape,"Courtyard, corridor, indoor traditional decor",Customizable,3800,"These traditional sandstone pot planters are ideal for cultural or ethnic themes. Available in multiple colors and finishes, they offer timeless elegance in every setting. Designs are customizable in terms of size and type of stone."
